,alpha_c.csv
192,https://www.rxlist.com/rocephin-drug.htm
196,https://www.rxlist.com/zinacef-drug.htm
202,https://www.rxlist.com/elyxyb-drug.htm
203,https://www.rxlist.com/celestone-soluspan-drug.htm
204,https://www.rxlist.com/celestone-drug.htm
206,https://www.rxlist.com/cellcept-drug.htm
207,https://www.rxlist.com/lacrisert-drug.htm
208,https://www.rxlist.com/celontin-drug.htm
209,https://www.rxlist.com/libtayo-drug.htm
210,https://www.rxlist.com/oxervate-drug.htm
211,https://www.rxlist.com/cenestin-drug.htm
212,https://www.rxlist.com/xcopri-drug.htm
213,https://www.rxlist.com/centany-drug.htm
214,https://www.rxlist.com/center-al-drug.htm
215,https://www.rxlist.com/cephadyn-drug.htm
216,https://www.rxlist.com/keflex-drug.htm
217,https://www.rxlist.com/ceprotin-drug.htm
220,https://www.rxlist.com/cerdelga-drug.htm
221,https://www.rxlist.com/cerebyx-drug.htm
222,https://www.rxlist.com/ceredase-drug.htm
223,https://www.rxlist.com/ceretec-drug.htm
224,https://www.rxlist.com/cerezyme-drug.htm
225,https://www.rxlist.com/cerianna-drug.htm
226,https://www.rxlist.com/zykadia-drug.htm
227,https://www.rxlist.com/baycol-drug.htm
228,https://www.rxlist.com/brineura-drug.htm
229,https://www.rxlist.com/cernevit-drug.htm
230,https://www.rxlist.com/certiva-drug.htm
232,https://www.rxlist.com/cerubidine-drug.htm
233,https://www.rxlist.com/cerumenex-drug.htm
234,https://www.rxlist.com/cervarix-drug.htm
235,https://www.rxlist.com/cervidil-drug.htm
236,https://www.rxlist.com/cesamet-drug.htm
237,https://www.rxlist.com/cetacaine-drug.htm
238,https://www.rxlist.com/zyrtec-drug.htm
239,https://www.rxlist.com/quzyttir-drug.htm
240,https://www.rxlist.com/zerviate-drug.htm
241,https://www.rxlist.com/zyrtec-d-drug.htm
245,https://www.rxlist.com/erbitux-drug.htm
246,https://www.rxlist.com/cetylev-drug.htm
247,https://www.rxlist.com/evoxac-drug.htm
248,https://www.rxlist.com/chantix-drug.htm
249,https://www.rxlist.com/chateal-drug.htm
250,https://www.rxlist.com/chemet-drug.htm
253,https://www.rxlist.com/chibroxin-drug.htm
254,https://www.rxlist.com/chirhostim-drug.htm
256,https://www.rxlist.com/noctec-drug.htm
257,https://www.rxlist.com/leukeran-drug.htm
262,https://www.rxlist.com/librium-drug.htm
263,https://www.rxlist.com/limbitrol-drug.htm
264,https://www.rxlist.com/librax-drug.htm
265,https://www.rxlist.com/periochip-drug.htm
266,https://www.rxlist.com/peridex-drug.htm
267,https://www.rxlist.com/dyna-hex-2-drug.htm
268,https://www.rxlist.com/periogard-drug.htm
270,https://www.rxlist.com/nesacaine-drug.htm
273,https://www.rxlist.com/aralen-drug.htm
274,https://www.rxlist.com/diuril-drug.htm
276,https://www.rxlist.com/thorazine-drug.htm
277,https://www.rxlist.com/diabinese-drug.htm
278,https://www.rxlist.com/thalitone-drug.htm
279,https://www.rxlist.com/parafon-forte-drug.htm
281,https://www.rxlist.com/lorzone-drug.htm
285,https://www.rxlist.com/cholera-vaccine-drug.htm
286,https://www.rxlist.com/vaxchora-drug.htm
287,https://www.rxlist.com/questran-drug.htm
288,https://www.rxlist.com/prevalite-drug.htm
289,https://www.rxlist.com/choletec-drug.htm
291,https://www.rxlist.com/trilisate-drug.htm
292,https://www.rxlist.com/cholografin-meglumine-drug.htm
293,https://www.rxlist.com/ovidrel-drug.htm
294,https://www.rxlist.com/pregnyl-drug.htm
295,https://www.rxlist.com/novarel-drug.htm
298,https://www.rxlist.com/cialis-drug.htm
299,https://www.rxlist.com/zetonna-drug.htm
300,https://www.rxlist.com/alvesco-drug.htm
301,https://www.rxlist.com/omnaris-drug.htm
304,https://www.rxlist.com/loprox-cream-drug.htm
305,https://www.rxlist.com/loprox-drug.htm
306,https://www.rxlist.com/loprox-lotion-drug.htm
308,https://www.rxlist.com/loprox-shampoo-drug.htm
309,https://www.rxlist.com/penlac-drug.htm
311,https://www.rxlist.com/cidaleaze-drug.htm
312,https://www.rxlist.com/vistide-drug.htm
313,https://www.rxlist.com/pletal-drug.htm
316,https://www.rxlist.com/cimduo-drug.htm
317,https://www.rxlist.com/tagamet-drug.htm
319,https://www.rxlist.com/sensipar-drug.htm
320,https://www.rxlist.com/onexton-drug.htm
323,https://www.rxlist.com/cinqair-drug.htm
325,https://www.rxlist.com/cinvanti-drug.htm
333,https://www.rxlist.com/otovel-drug.htm
335,https://www.rxlist.com/proquin-xr-drug.htm
341,https://www.rxlist.com/otiprio-drug.htm
342,https://www.rxlist.com/cis-sulfur-colloid-drug.htm
343,https://www.rxlist.com/propulsid-drug.htm
344,https://www.rxlist.com/nimbex-drug.htm
346,https://www.rxlist.com/platinol-drug.htm
348,https://www.rxlist.com/platinol-aq-drug.htm
350,https://www.rxlist.com/citanest-forte-dental-drug.htm
351,https://www.rxlist.com/citanest-plain-dental-drug.htm
352,https://www.rxlist.com/renacidin-drug.htm
353,https://www.rxlist.com/leustatin-drug.htm
354,https://www.rxlist.com/mavenclad-drug.htm
356,https://www.rxlist.com/clanza-cr-drug.htm
357,https://www.rxlist.com/claravis-drug.htm
358,https://www.rxlist.com/clarinex-drug.htm
359,https://www.rxlist.com/clarinex-d-12hr-drug.htm
360,https://www.rxlist.com/clarinex-d-24hr-drug.htm
361,https://www.rxlist.com/clariscan-drug.htm
362,https://www.rxlist.com/biaxin-drug.htm
363,https://www.rxlist.com/claritin-drug.htm
364,https://www.rxlist.com/claritin-d-drug.htm
365,https://www.rxlist.com/winlevi-drug.htm
366,https://www.rxlist.com/clemastine-fumarate-syrup-drug.htm
367,https://www.rxlist.com/clemastine-fumarate-tablets-drug.htm
368,https://www.rxlist.com/clenpiq-drug.htm
379,https://www.rxlist.com/climara-drug.htm
380,https://www.rxlist.com/climara-pro-drug.htm
388,https://www.rxlist.com/benzaclin-drug.htm
389,https://www.rxlist.com/duac-drug.htm
390,https://www.rxlist.com/evoclin-drug.htm
394,https://www.rxlist.com/acanya-drug.htm
395,https://www.rxlist.com/neuac-drug.htm
396,https://www.rxlist.com/veltin-drug.htm
397,https://www.rxlist.com/clindamycin-phosphate-topical-solution-drug.htm
